team,elo
Scotland,1841.3111455416529
England,2083.1537112417627
Wales,1740.12048618531
Northern Ireland,1659.503438466586
United States,1823.3852103400986
Canada,1894.660022358061
Uruguay,1971.6512252682228
Argentina,2186.154974656426
Austria,1887.101316566532
Hungary,1764.7286260228677
Czechoslovakia,1800.6674108487578
Belgium,1953.7448950710796
France,2121.781588681595
Switzerland,1952.9856730055253
Guernsey,1745.583497029935
Alderney,1076.9360996871849
Jersey,1805.2794969909896
Netherlands,2007.6147088733858
Guyana,1492.5502142499906
Trinidad and Tobago,1536.7742118709216
South Africa,1661.4056631331243
Germany,2001.5625170109142
Sweden,1767.654512907104
Norway,1968.5114201905863
Denmark,1925.5995924803694
Italy,1925.6286391545611
Chile,1799.6579987264124
Russia,1837.6169479940186
Finland,1596.3402712812854
Luxembourg,1456.809419132178
Catalonia,1653.7366356594966
Philippines,1338.2094862062106
China,1549.7553484796927
Brazil,2065.3284471315383
Basque Country,1797.3018261856098
Japan,1990.0474859082626
Paraguay,1914.7039000200396
Romania,1697.6273904290128
Greece,1800.0841124638375
Yugoslavia,1870.732855450223
Spain,2215.866040931199
Egypt,1808.1548157944048
Estonia,1421.4492766082817
Suriname,1589.353266037787
Provence,1460.112025931893
Costa Rica,1745.6038661568648
El Salvador,1492.2724930015454
Guatemala,1645.6425485895838
Poland,1767.8737451802897
Portugal,2039.5191184163186
Brittany,1504.0679427486866
New Zealand,1716.7699599042735
Australia,1897.3260693825086
Latvia,1328.815922295239
Galicia,1527.2161758384523
Central Spain,1495.317158400716
Mexico,1976.5382445186988
Andalusia,1592.0305083740204
Asturias,1520.5297736017358
Lithuania,1331.4350861312141
Turkey,1966.416733511596
Aruba,1214.5019206699087
Curaçao,1604.9411768558239
Bulgaria,1534.9115604507042
Republic of Ireland,1757.990964914184
Haiti,1705.5144026497878
Jamaica,1657.297534863232
Kenya,1469.6491848437
Uganda,1511.240242328589
Bolivia,1725.1993857406471
Peru,1768.3162675036585
Honduras,1709.8275521763173
