date,home_fm,away_fm,xg_home,xg_away,score,team_home,team_away,match_id
2021-03-24,Portugal,Azerbaijan,2.07,0.19,1 - 0,Portugal,Azerbaijan,3495148
2021-03-24,Serbia,Ireland,1.41,0.68,3 - 2,Serbia,Republic of Ireland,3495149
2021-03-24,Finland,Bosnia and Herzegovina,2.25,2.86,2 - 2,Finland,Bosnia and Herzegovina,3495208
2021-03-24,France,Ukraine,1.71,0.16,1 - 1,France,Ukraine,3495209
2021-03-24,Belgium,Wales,2.24,0.79,3 - 1,Belgium,Wales,3495228
2021-03-24,Estonia,Czechia,0.77,2.86,2 - 6,Estonia,Czech Republic,3495229
2021-03-24,Turkiye,Netherlands,1.15,2.6,4 - 2,Turkey,Netherlands,3495286
2021-03-24,Gibraltar,Norway,0.06,3.84,0 - 3,Gibraltar,Norway,3495284
2021-03-24,Slovenia,Croatia,0.55,0.6,1 - 0,Slovenia,Croatia,3495316
2021-03-25,Spain,Greece,0.98,0.79,1 - 1,Spain,Greece,3495168
2021-03-25,Sweden,Georgia,0.98,1.05,1 - 0,Sweden,Georgia,3495169
2021-03-25,Bulgaria,Switzerland,0.36,2.98,1 - 3,Bulgaria,Switzerland,3495188
2021-03-25,Israel,Denmark,0.65,1.27,0 - 2,Israel,Denmark,3495251
2021-03-25,Scotland,Austria,0.95,0.9,2 - 2,Scotland,Austria,3495253
2021-03-25,England,San Marino,4.96,0.06,5 - 0,England,San Marino,3495345
2021-03-25,Hungary,Poland,3.08,0.92,3 - 3,Hungary,Poland,3495346
2021-03-25,Germany,Iceland,0.94,0.57,3 - 0,Germany,Iceland,3495374
2021-03-27,Serbia,Portugal,1.76,1.62,2 - 2,Serbia,Portugal,3495151
2021-03-27,Czechia,Belgium,0.9,0.99,1 - 1,Czech Republic,Belgium,3495231
2021-03-27,Netherlands,Latvia,6.44,0.35,2 - 0,Netherlands,Latvia,3495289
2021-03-27,Norway,Turkiye,0.91,1.13,0 - 3,Norway,Turkey,3495288
2021-03-27,Croatia,Cyprus,1.5,0.12,1 - 0,Croatia,Cyprus,3495318
2021-03-28,Georgia,Spain,0.26,1.14,1 - 2,Georgia,Spain,3495170
2021-03-28,Kosovo,Sweden,0.63,3.78,0 - 3,Kosovo,Sweden,3495171
2021-03-28,Switzerland,Lithuania,2.07,0.13,1 - 0,Switzerland,Lithuania,3495191
2021-03-28,Kazakhstan,France,0.13,2.99,0 - 2,Kazakhstan,France,3495210
2021-03-28,Denmark,Moldova,3.78,0.18,8 - 0,Denmark,Moldova,3495254
2021-03-28,Austria,Faroe Islands,4.31,0.94,3 - 1,Austria,Faroe Islands,3495255
2021-03-28,Israel,Scotland,0.64,0.68,1 - 1,Israel,Scotland,3495256
2021-03-28,Albania,England,0.39,1.74,0 - 2,Albania,England,3495347
2021-03-28,Poland,Andorra,3.43,0.07,3 - 0,Poland,Andorra,3495348
2021-03-28,Romania,Germany,1.13,2.84,0 - 1,Romania,Germany,3495379
2021-03-30,Azerbaijan,Serbia,1.67,1.19,1 - 2,Azerbaijan,Serbia,3495152
2021-03-30,Luxembourg,Portugal,0.52,2.63,1 - 3,Luxembourg,Portugal,3495153
2021-03-30,Belgium,Belarus,4.2,0.17,8 - 0,Belgium,Belarus,3495232
2021-03-30,Wales,Czechia,1.07,0.86,1 - 0,Wales,Czech Republic,3495233
2021-03-30,Gibraltar,Netherlands,0.0,7.49,0 - 7,Gibraltar,Netherlands,3495290
2021-03-30,Montenegro,Norway,0.98,1.36,0 - 1,Montenegro,Norway,3495291
2021-03-30,Turkiye,Latvia,2.09,1.38,3 - 3,Turkey,Latvia,3495292
2021-03-30,Croatia,Malta,2.99,0.16,3 - 0,Croatia,Malta,3495320
2021-03-31,Spain,Kosovo,2.32,0.49,3 - 1,Spain,Kosovo,3495173
2021-03-31,Bosnia and Herzegovina,France,0.61,1.17,0 - 1,Bosnia and Herzegovina,France,3495212
2021-03-31,Austria,Denmark,0.22,2.06,0 - 4,Austria,Denmark,3495257
2021-03-31,Scotland,Faroe Islands,0.95,0.61,4 - 0,Scotland,Faroe Islands,3495259
2021-03-31,England,Poland,1.35,0.55,2 - 1,England,Poland,3495351
2021-03-31,Germany,North Macedonia,1.74,1.03,1 - 2,Germany,North Macedonia,3495381
2021-06-11,Türkiye,Italy,0.19,1.58,0 - 3,Turkey,Italy,3230637
2021-06-12,Wales,Switzerland,0.47,1.53,1 - 1,Wales,Switzerland,3230638
2021-06-12,Denmark,Finland,0.99,0.23,0 - 1,Denmark,Finland,3230643
2021-06-12,Belgium,Russia,1.22,0.25,3 - 0,Belgium,Russia,3230644
2021-06-13,England,Croatia,0.74,0.52,1 - 0,England,Croatia,3230655
2021-06-13,Austria,North Macedonia,1.47,0.79,3 - 1,Austria,North Macedonia,3230650
2021-06-13,Netherlands,Ukraine,1.38,0.48,3 - 2,Netherlands,Ukraine,3230649
2021-06-14,Scotland,Czechia,2.17,0.81,0 - 2,Scotland,Czech Republic,3230656
2021-06-14,Poland,Slovakia,1.66,0.36,1 - 2,Poland,Slovakia,3230662
2021-06-14,Spain,Sweden,2.08,0.82,0 - 0,Spain,Sweden,3230661
2021-06-15,Hungary,Portugal,0.19,1.96,0 - 3,Hungary,Portugal,3230667
2021-06-15,France,Germany,0.4,0.77,1 - 0,France,Germany,3230668
2021-06-16,Türkiye,Wales,1.03,2.3,0 - 2,Turkey,Wales,3230639
2021-06-16,Italy,Switzerland,1.98,0.21,3 - 0,Italy,Switzerland,3230640
2021-06-17,Netherlands,Austria,2.22,0.38,2 - 0,Netherlands,Austria,3230651
2021-06-17,Denmark,Belgium,1.26,1.42,1 - 2,Denmark,Belgium,3230645
2021-06-18,Sweden,Slovakia,0.89,0.5,1 - 0,Sweden,Slovakia,3230664
2021-06-18,Croatia,Czechia,0.99,0.9,1 - 1,Croatia,Czech Republic,3230658
2021-06-18,England,Scotland,1.14,0.96,0 - 0,England,Scotland,3230657
2021-06-19,Hungary,France,0.35,1.81,1 - 1,Hungary,France,3230669
2021-06-19,Portugal,Germany,2.09,2.57,2 - 4,Portugal,Germany,3230670
2021-06-19,Spain,Poland,1.91,0.76,1 - 1,Spain,Poland,3230663
2021-06-20,Italy,Wales,1.55,0.35,1 - 0,Italy,Wales,3230642
2021-06-20,Switzerland,Türkiye,2.22,0.81,3 - 1,Switzerland,Turkey,3230641
2021-06-21,North Macedonia,Netherlands,0.74,2.66,0 - 3,North Macedonia,Netherlands,3230653
2021-06-21,Ukraine,Austria,0.22,1.4,0 - 1,Ukraine,Austria,3230654
2021-06-21,Finland,Belgium,0.28,1.34,0 - 2,Finland,Belgium,3230648
2021-06-21,Russia,Denmark,0.28,2.23,1 - 4,Russia,Denmark,3230647
2021-06-22,Croatia,Scotland,0.64,1.27,3 - 1,Croatia,Scotland,3230660
2021-06-22,Czechia,England,0.33,0.61,0 - 1,Czech Republic,England,3230659
2021-06-23,Slovakia,Spain,0.12,2.58,0 - 5,Slovakia,Spain,3230665
2021-06-23,Sweden,Poland,1.06,2.03,3 - 2,Sweden,Poland,3230666
2021-06-23,Germany,Hungary,1.8,0.59,2 - 2,Germany,Hungary,3230671
2021-06-23,Portugal,France,0.42,0.88,2 - 2,Portugal,France,3230672
