team,squad_size,avg_age,market_value_meur,wc_year
France,26,27.0,1520.0,2014
England,26,27.2,1360.0,2014
Spain,26,26.8,1220.0,2014
Portugal,26,28.1,1010.0,2014
Germany,26,28.1,947.0,2014
Brazil,26,29.4,928.2,2014
Argentina,25,29.1,782.5,2014
Netherlands,26,27.8,754.2,2014
Belgium,26,27.6,547.5,2014
Ivory Coast,26,25.9,522.1,2014
Croatia,26,28.4,387.3,2014
United States,26,26.9,385.65,2014
Ecuador,26,26.1,368.7,2014
Uruguay,26,28.8,359.3,2014
Switzerland,26,28.3,332.5,2014
Italy,23,21.0,315.7,2014
Colombia,26,30.1,302.35,2014
Greece,25,26.3,275.6,2014
Japan,26,27.8,270.85,2014
Algeria,26,26.9,256.9,2014
Russia,33,26.4,242.7,2014
Ghana,27,26.8,234.6,2014
Cameroon,24,23.7,198.7,2014
Mexico,26,27.9,191.85,2014
Nigeria,22,26.8,171.85,2014
Bosnia and Herzegovina,26,26.4,151.6,2014
South Korea,26,28.1,139.05,2014
Australia,26,27.4,77.45,2014
Chile,25,25.9,66.8,2014
Iran,26,30.4,32.05,2014
Costa Rica,21,24.8,28.2,2014
Honduras,26,25.4,20.93,2014
France,26,27.0,1520.0,2018
England,26,27.2,1360.0,2018
Spain,26,26.8,1220.0,2018
Portugal,26,28.1,1010.0,2018
Germany,26,28.1,947.0,2018
Brazil,26,29.4,928.2,2018
Argentina,25,29.1,782.5,2018
Belgium,26,27.6,547.5,2018
Morocco,26,26.4,498.3,2018
Senegal,26,27.1,478.1,2018
Sweden,26,27.6,406.08,2018
Croatia,26,28.4,387.3,2018
Denmark,23,25.5,365.0,2018
Uruguay,26,28.8,359.3,2018
Switzerland,26,28.3,332.5,2018
Colombia,26,30.1,302.35,2018
Japan,26,27.8,270.85,2018
Russia,33,26.4,242.7,2018
Poland,26,26.3,231.6,2018
Serbia,26,23.0,206.0,2018
Mexico,26,27.9,191.85,2018
Nigeria,22,26.8,171.85,2018
South Korea,26,28.1,139.05,2018
Egypt,26,29.1,116.48,2018
Iceland,24,27.7,89.1,2018
Australia,26,27.4,77.45,2018
Tunisia,26,26.7,69.95,2018
Saudi Arabia,26,28.5,40.68,2018
Panama,26,30.4,34.55,2018
Iran,26,30.4,32.05,2018
Peru,24,27.1,30.03,2018
Costa Rica,21,24.8,28.2,2018
France,26,27.0,1520.0,2022
England,26,27.2,1360.0,2022
Spain,26,26.8,1220.0,2022
Portugal,26,28.1,1010.0,2022
Germany,26,28.1,947.0,2022
Brazil,26,29.4,928.2,2022
Argentina,25,29.1,782.5,2022
Netherlands,26,27.8,754.2,2022
Belgium,26,27.6,547.5,2022
Morocco,26,26.4,498.3,2022
Senegal,26,27.1,478.1,2022
Croatia,26,28.4,387.3,2022
United States,26,26.9,385.65,2022
Ecuador,26,26.1,368.7,2022
Denmark,23,25.5,365.0,2022
Uruguay,26,28.8,359.3,2022
Switzerland,26,28.3,332.5,2022
Japan,26,27.8,270.85,2022
Ghana,27,26.8,234.6,2022
Poland,26,26.3,231.6,2022
Serbia,26,23.0,206.0,2022
Cameroon,24,23.7,198.7,2022
Canada,26,27.0,198.65,2022
Mexico,26,27.9,191.85,2022
Wales,27,26.6,180.65,2022
South Korea,26,28.1,139.05,2022
Australia,26,27.4,77.45,2022
Tunisia,26,26.7,69.95,2022
Saudi Arabia,26,28.5,40.68,2022
Iran,26,30.4,32.05,2022
Costa Rica,21,24.8,28.2,2022
Qatar,26,29.5,19.93,2022
France,26,27.0,1520.0,2026
England,26,27.2,1360.0,2026
Spain,26,26.8,1220.0,2026
Portugal,26,28.1,1010.0,2026
Germany,26,28.1,947.0,2026
Brazil,26,29.4,928.2,2026
Argentina,25,29.1,782.5,2026
Netherlands,26,27.8,754.2,2026
Norway,26,26.8,589.9,2026
Belgium,26,27.6,547.5,2026
Ivory Coast,26,25.9,522.1,2026
Morocco,26,26.4,498.3,2026
Senegal,26,27.1,478.1,2026
Turkey,26,27.7,473.7,2026
Sweden,26,27.6,406.08,2026
Croatia,26,28.4,387.3,2026
United States,26,26.9,385.65,2026
Ecuador,26,26.1,368.7,2026
Uruguay,26,28.8,359.3,2026
Switzerland,26,28.3,332.5,2026
Colombia,26,30.1,302.35,2026
Japan,26,27.8,270.85,2026
Algeria,26,26.9,256.9,2026
Austria,25,28.6,242.2,2026
Ghana,27,26.8,234.6,2026
Canada,26,27.0,198.65,2026
Mexico,26,27.9,191.85,2026
Czech Republic,26,27.6,188.18,2026
Scotland,26,29.2,170.25,2026
Paraguay,26,29.1,153.65,2026
Bosnia and Herzegovina,26,26.4,151.6,2026
DR Congo,26,29.1,143.9,2026
South Korea,26,28.1,139.05,2026
Egypt,26,29.1,116.48,2026
Uzbekistan,26,28.5,85.33,2026
Australia,26,27.4,77.45,2026
Tunisia,26,26.7,69.95,2026
Haiti,26,27.6,55.9,2026
Cape Verde,26,29.7,54.5,2026
South Africa,26,26.8,49.25,2026
Saudi Arabia,26,28.5,40.68,2026
Panama,26,30.4,34.55,2026
New Zealand,26,28.1,34.35,2026
Iran,26,30.4,32.05,2026
Curaçao,26,28.0,25.78,2026
Iraq,26,26.9,21.2,2026
Jordan,26,28.5,20.3,2026
Qatar,26,29.5,19.93,2026
