team,R32,R16,QF,SF,Final,Third,Champion
Argentina,99.92,74.23,60.21,46.05,31.81,9.97,20.78
France,99.92,72.05,47.95,33.26,21.56,7.77,13.47
Spain,92.68,61.31,43.32,31.72,20.26,7.6,12.5
England,99.07,67.07,42.59,26.11,13.85,7.45,6.91
Brazil,94.71,62.75,39.92,22.41,11.87,6.23,5.89
Germany,99.7,65.62,34.98,20.16,10.59,5.8,5.24
Portugal,87.59,61.63,38.68,20.32,10.7,5.2,5.21
Netherlands,90.66,45.68,27.59,14.3,7.01,3.78,3.27
Norway,98.32,54.9,28.98,15.34,7.31,3.94,3.2
Colombia,84.22,54.83,32.42,15.6,7.39,4.22,2.94
Morocco,89.52,46.66,25.65,12.7,6.04,3.45,2.74
Japan,87.62,42.21,23.27,11.46,5.41,3.01,2.32
Belgium,93.2,62.46,33.45,14.98,6.28,3.95,2.21
Mexico,99.0,62.22,30.45,11.74,4.79,3.06,1.78
Ecuador,71.13,37.5,19.51,8.59,3.43,2.44,1.44
Ivory Coast,98.3,48.27,20.35,9.3,3.62,2.38,1.34
Australia,96.04,54.45,22.45,9.06,3.51,2.36,1.12
Switzerland,86.43,53.34,23.07,8.28,2.86,2.18,1.11
Croatia,90.68,40.92,19.03,8.84,3.13,2.07,1.0
United States,97.22,54.47,21.71,7.56,2.45,1.76,0.84
Austria,94.17,41.27,17.8,7.61,2.52,1.92,0.81
Uruguay,72.62,29.28,13.56,6.26,2.21,1.41,0.76
Canada,80.12,42.69,18.27,5.37,1.98,1.11,0.6
Senegal,56.7,23.07,10.51,3.68,1.21,0.88,0.39
South Korea,96.03,47.67,16.7,4.9,1.44,1.03,0.36
Sweden,95.33,28.43,11.35,3.68,1.31,0.66,0.3
Egypt,79.63,31.84,10.24,3.1,0.84,0.69,0.3
Scotland,80.16,26.3,8.92,2.54,0.84,0.5,0.25
Uzbekistan,48.36,16.18,5.61,1.87,0.58,0.46,0.17
DR Congo,47.07,16.07,4.92,1.63,0.39,0.41,0.16
Algeria,49.74,19.41,7.35,2.26,0.64,0.45,0.14
Turkey,48.68,18.69,4.89,1.66,0.49,0.37,0.13
Paraguay,31.77,11.4,3.35,1.09,0.36,0.29,0.11
Czech Republic,58.3,23.82,7.69,2.01,0.51,0.41,0.09
Iran,53.27,20.43,5.71,1.37,0.27,0.31,0.04
Bosnia and Herzegovina,70.73,25.88,6.47,1.39,0.26,0.14,0.04
Ghana,39.56,8.16,1.96,0.34,0.03,0.07,0.01
Cape Verde,48.62,8.46,1.96,0.36,0.04,0.06,0.01
South Africa,16.39,4.3,0.86,0.13,0.04,0.0,0.01
Tunisia,10.13,2.04,0.47,0.12,0.02,0.03,0.01
Haiti,10.91,1.81,0.23,0.0,0.0,0.0,0.0
Qatar,31.66,5.72,0.78,0.05,0.0,0.01,0.0
Curaçao,5.87,0.61,0.07,0.0,0.0,0.0,0.0
New Zealand,28.24,6.72,0.96,0.13,0.02,0.01,0.0
Saudi Arabia,49.05,8.84,1.97,0.38,0.06,0.06,0.0
Iraq,4.85,0.66,0.26,0.01,0.0,0.01,0.0
Jordan,10.86,2.65,0.49,0.04,0.0,0.02,0.0
Panama,25.25,5.03,1.07,0.24,0.07,0.07,0.0
